"filename", "language", "JSON", "CSS", "Markdown", "HTML", "JavaScript JSX", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\ndlov\Documents\strava-app\src\pages\TrainingPages\PowerCurve.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\ndlov\Documents\strava-app\src\pages\TrainingPages\Training.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\ndlov\Documents\strava-app\src\pages\TrainingPages\TrainingCalendar.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\ndlov\Documents\strava-app\src\pages\TrainingPages\TrainingLog.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\ndlov\Documents\strava-app\src\pages\TrainingPages\TrainingPlans.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\ndlov\Documents\strava-app\src\pages\UserPages\FindFriends.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\ndlov\Documents\strava-app\src\pages\UserPages\MyProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\ndlov\Documents\strava-app\src\pages\UserPages\MySearchUserProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\ndlov\Documents\strava-app\src\pages\UserPages\Settings.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"c:\Users\ndlov\Documents\strava-app\src\pages\UserUploadPages\CreatePost.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 2, 2, 14
"c:\Users\ndlov\Documents\strava-app\src\pages\UserUploadPages\Device.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 2, 3, 15
"c:\Users\ndlov\Documents\strava-app\src\pages\UserUploadPages\File.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 2, 3, 15
"c:\Users\ndlov\Documents\strava-app\src\pages\UserUploadPages\Manual.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 1, 3, 17
"c:\Users\ndlov\Documents\strava-app\src\pages\UserUploadPages\Mobile.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 2, 3, 15
"c:\Users\ndlov\Documents\strava-app\src\services\UserActivitiesManager.js", "JavaScript", 0, 0, 0, 0, 0, 103, 0, 17, 29, 149
